Agglo;Habitants;Dpt;Zone;Cambriolage;VolVoiture
Abbeville;24155;80;Police;5.8;1.57
Abbeville;120364;80;Gendarmerie;4.41;0.89
Agde;24567;34;Police;18.6;4.4
Agen;54890;47;Police;7.05;1.22
Agen;63906;47;Gendarmerie;5.1;0.47
Aix en Provence;141438;13;Police;14.93;3.54
Aix en Provence;112328;13;Gendarmerie;9.92;2.68
Aix les Bains;27750;73;Police;9.66;2.34
Ajaccio;65542;2A;Police;1.91;1.14
Ajaccio;32245;2A;Gendarmerie;3.1;1.21
Albertville;18876;73;Police;4.98;2.33
Albertville;92018;73;Gendarmerie;3.67;0.88
Albi;62362;81;Police;7.91;0.72
Albi;51611;81;Gendarmerie;3.6;0.31
Alencon;37811;61;Police;4.15;1.19
Alencon Argentan;74062;61;Gendarmerie;3.52;0.54
Ales;47896;30;Police;9.44;3.17
Ales;123630;30;Gendarmerie;6.38;1.55
Alfortville;44201;94;Police;4.3;1.58
Altkirch;68591;68;Gendarmerie;2.74;0.67
Ambert;27157;63;Gendarmerie;2.76;0.55
Amboise;106143;37;Gendarmerie;5.12;0.88
Amiens;164977;80;Police;6.18;2.79
Amiens;95909;80;Gendarmerie;4.21;1.3
Ancenis;84947;44;Gendarmerie;5.17;0.85
Andelys ;86228;27;Gendarmerie;5.17;2.24
Angers;192992;49;Police;5.04;1.33
Angers;171707;49;Gendarmerie;4.44;0.69
Angouleme;89620;16;Police;4.79;1.24
Angouleme;94275;16;Gendarmerie;3.18;0.4
Aniche;24022;59;Police;4.08;0.62
Annecy;67606;74;Police;6.26;1.61
Annecy;193699;74;Gendarmerie;5.23;1.23
Annemasse;65864;74;Police;8.75;2.11
Antibes;102372;6;Police;9.11;2.36
Antony;81778;92;Police;4.95;1.21
Arbresle (L );143158;69;Gendarmerie;5.73;1.29
Arcachon;35566;33;Police;4.47;1.12
Arcachon;100672;33;Gendarmerie;5.38;1.03
Argeles Gazost;21532;65;Gendarmerie;3.53;0.42
Argentan;14369;61;Police;5.29;0.9
Argenteuil;152253;95;Police;4.6;2.79
Argenteuil;69864;95;Gendarmerie;7.07;6.01
Arles;52661;13;Police;9.13;2.62
Arles;86884;13;Gendarmerie;8.76;3.8
Armentieres;48832;59;Police;5.49;1.35
Arpajon;71300;91;Police;8.37;3.84
Arras;78936;62;Police;3.97;1.71
Arras;121077;62;Gendarmerie;3.44;0.97
Asnieres sur Seine;111611;92;Police;4.03;1.7
Athis Mons;37504;91;Police;7.12;3.41
Aubagne;52759;13;Police;12.64;4.28
Aubagne;80669;13;Gendarmerie;6.74;1.72
Aubenas;21589;7;Police;6.53;1.9
Aubervilliers;76087;93;Police;6.93;2.93
Aubusson;41668;23;Gendarmerie;2.83;0.38
Auch;21576;32;Police;8.34;1.11
Auch;65066;32;Gendarmerie;3.53;0.94
Auchel;29209;62;Police;4.07;0.31
Aulnay sous Bois;131952;93;Police;7.96;4.34
Aulnoye Aymeries;19145;59;Police;3.08;0.63
Aurillac;33977;15;Police;2.47;0.38
Aurillac;48702;15;Gendarmerie;2.11;0.35
Autun;50017;71;Gendarmerie;4.54;0.72
Auxerre;39647;89;Police;5.9;2.52
Auxerre;111282;89;Gendarmerie;5.71;1.71
Avallon;44395;89;Gendarmerie;5.97;1.89
Avesnes sur Helpe;121750;59;Gendarmerie;3.93;1.06
Avignon;110307;84;Police;12;4.41
Avignon;110307;30;Police;12;4.41
Avignon;111658;84;Gendarmerie;7.01;2.91
Avion;40988;62;Police;5.1;1.46
Avranches;110196;50;Gendarmerie;2.28;0.31
Bagneres de Bigorre;46562;65;Gendarmerie;2.56;0.62
Bagneux;38080;92;Police;3.1;2.13
Bagnols sur Ceze;18245;30;Police;5.26;1.7
Bagnols sur Ceze;97916;30;Gendarmerie;10.07;1.95
Bailleul;14480;59;Police;2.83;1.17
Bar le Duc;20510;55;Police;3.56;1.17
Bar sur Aube;49533;10;Gendarmerie;7.53;1.7
Barcelonnette;10942;4;Gendarmerie;4.39;0.82
Basse Terre;11915;971;Police;5.54;1.17
Bastia;58785;2B;Police;4.18;2.01
Bastia;45285;2B;Gendarmerie;4.86;1.74
Bayeux;94335;14;Gendarmerie;2.63;0.86
Bayonne;90614;64;Police;5.4;1.1
Bayonne;81527;64;Gendarmerie;1.74;0.42
Beaucaire;29243;30;Police;10.26;4.79
Beaucaire;29243;13;Police;10.26;4.79
Beaune;22394;21;Police;5.89;1.29
Beaune;73778;21;Gendarmerie;5.64;1.1
Beauvais;54711;60;Police;4.04;2.83
Beauvais;84787;60;Gendarmerie;5.99;2.15
Belfort;74569;90;Police;4.59;0.97
Belfort;68342;90;Gendarmerie;3.35;0.61
Bellac;43760;87;Gendarmerie;4.16;0.27
Belley;97620;1;Gendarmerie;4.66;1.7
Berck;19424;62;Police;4.02;0.82
Bergerac;31788;24;Police;3.78;1.38
Bergerac;78711;24;Gendarmerie;4.57;0.5
Bernay;63083;27;Gendarmerie;5.48;0.97
Besancon;116914;25;Police;6.93;2.02
Besancon;127442;25;Gendarmerie;5.22;0.92
Bethune;93731;62;Police;4.08;0.97
Bethune;77732;62;Gendarmerie;2.12;0.41
Beziers;80253;34;Police;9.33;2.4
Beziers;115453;34;Gendarmerie;5.43;1.49
Bezons;27987;95;Police;7.43;4.75
Biarritz;31512;64;Police;8;1.9
Blanc ;51441;36;Gendarmerie;4.47;0.54
Blaye;61929;33;Gendarmerie;7.15;1.78
Blois;54034;41;Police;7.33;3.78
Blois;80919;41;Gendarmerie;4.7;2.21
Bobigny;87225;93;Police;8.58;4.2
Boissy Saint Leger;87440;94;Police;5.12;1.93
Bolbec Lillebonne;33780;76;Police;3.82;1.18
Bondy;75276;93;Police;6.85;3.51
Bonneville;120757;74;Gendarmerie;6.81;1.19
Bordeaux;622315;33;Police;5.14;1.85
Bordeaux;126409;33;Gendarmerie;4.83;1.72
Bordeaux Bastide;124195;33;Gendarmerie;6.18;1.3
Boulay Moselle;86709;57;Gendarmerie;3.32;0.45
Boulogne Billancourt;114205;92;Police;3.63;1.65
Boulogne sur Mer;93650;62;Police;8.87;1.69
Bourboule ;24500;63;Gendarmerie;3.02;0.49
Bourg en Bresse;57553;1;Police;6.53;0.97
Bourg en Bresse;147165;1;Gendarmerie;5.01;1.08
Bourges;88383;18;Police;6.03;1.02
Bourges;64947;18;Gendarmerie;5.79;0.85
Bourgoin Jallieu;26173;38;Police;10.12;4.05
Bourgoin Jallieu;133349;38;Gendarmerie;6.52;2.59
Bressuire;82227;79;Gendarmerie;3.5;0.58
Brest;141303;29;Police;4.75;1.45
Brest;147180;29;Gendarmerie;2.58;0.6
Briancon;11627;5;Police;3.44;1.46
Briancon;35463;5;Gendarmerie;2.2;1.16
Briey;24635;54;Police;3.09;0.85
Briey;59641;54;Gendarmerie;3.97;0.92
Brignoles;120102;83;Gendarmerie;6.37;2.25
Brioude;42646;43;Gendarmerie;2.42;0.54
Brive la Gaillarde;48949;19;Police;3.49;0.96
Brive la Gaillarde;113269;19;Gendarmerie;2.83;0.42
Bron;92558;69;Gendarmerie;6.84;2.84
Bruay la Buissiere;46163;62;Police;3.25;0.71
Brunoy;54261;91;Police;5.31;3
Caen;193957;14;Police;4.92;1.54
Caen;103240;14;Gendarmerie;2.09;0.56
Cagnes sur Mer;77104;6;Police;8.18;1.71
Cahors;26245;46;Police;6.78;1.33
Cahors;50564;46;Gendarmerie;4.63;0.89
Calais;95875;62;Police;3.53;0.94
Calais;90709;62;Gendarmerie;2.99;0.62
Calvi;20876;2B;Gendarmerie;5.03;1.58
Cambrai;48207;59;Police;5.73;0.91
Cambrai;113002;59;Gendarmerie;3.06;0.58
Cannes;115554;6;Police;7.84;2.02
Cannes;101904;6;Gendarmerie;6.7;1.25
Capesterre Belle Eau;19321;971;Police;5.07;0.31
Carcassonne;47419;11;Police;12.84;4.18
Carcassonne;96039;11;Gendarmerie;6.68;1.18
Carmaux;15342;81;Police;3.45;0.72
Carpentras;40267;84;Police;8.27;2.78
Carpentras;75872;84;Gendarmerie;4.51;1.61
Castellane;15955;4;Gendarmerie;4.32;1
Castelnau le Lez;153434;34;Gendarmerie;5.1;1.75
Castelnaudary;11753;11;Police;6.21;1.7
Castelsarrasin;12770;82;Police;9.4;1.8
Castelsarrasin;64771;82;Gendarmerie;7.47;1.48
Castres;42314;81;Police;7.96;1.35
Castres;106278;81;Gendarmerie;4.91;0.72
Cavaillon;24951;84;Police;10.26;4.37
Cayenne;55753;973;Police;8;0.86
Ceret;72483;66;Gendarmerie;6.42;1.77
Cergy Pontoise;151224;95;Police;7;3.69
Cergy Pontoise;104105;95;Gendarmerie;5.72;3.52
Chalon sur Saone;65127;71;Police;6.37;1.49
Chalon sur Saone;105140;71;Gendarmerie;4.37;0.71
